,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,75,NZ,1633829151,40,-46.1927,168.8643,64.47,4.59
1,bluff,58,NZ,1633828853,57,-46.6,168.3333,64.8,3.24
2,barrow,90,US,1633829152,80,71.2906,-156.7887,30.22,4.61
3,coquimbo,0,CL,1633829153,71,-29.9533,-71.3436,55.13,5.75
4,hasaki,31,JP,1633829153,76,35.7333,140.8333,73.69,6.71
5,port hedland,100,CD,1633829154,51,-7.0349,29.7638,79.48,2.75
6,clyde river,3,US,1633829154,79,41.3042,-82.9752,70.59,6.6
7,alugan,100,PH,1633828916,72,12.2188,125.4808,83.73,18.1
8,cape town,30,CL,1633829155,87,-36.413,-71.9028,51.22,1.45
9,longyearbyen,0,SJ,1633829155,79,78.2186,15.6401,19.24,8.05
10,rafsanjan,0,IR,1633829156,41,30.4067,55.9939,54.63,6.4
11,nanortalik,12,GL,1633829085,82,60.1432,-45.2371,36.03,7.56
12,pimenta bueno,98,BR,1633829156,94,-20.4839,-45.7989,68.41,6.53
13,vila,93,PT,1633829156,60,42.0304,-8.1588,59.32,4.9
14,mondragone,40,IT,1633829157,67,41.1141,13.8935,62.83,11.54
15,severo-kurilsk,50,RU,1633829157,71,50.6789,156.125,47.48,12.68
16,ostrovnoy,100,RU,1633829157,97,68.0531,39.5131,39.61,9.98
17,ribeira grande,0,ES,1633829158,85,42.7461,-8.4439,64.65,3.44
18,delaware,90,US,1633829158,90,39.0004,-75.4999,69.01,3.0
19,arraial do cabo,100,BR,1633829158,95,-22.8362,-46.646,62.01,7.81
20,atuona,9,PF,1633829159,73,-9.8,-139.0333,78.15,17.02
21,talara,84,PE,1633829159,89,-4.5772,-81.2719,64.49,12.59
22,qarayeri,75,AZ,1633829159,81,40.7886,46.3066,50.88,4.61
23,luganville,84,VU,1633829160,83,-15.5333,167.1667,79.43,12.84
24,shingu,71,JP,1633829160,88,33.7333,135.9833,83.39,7.43
25,carnarvon,0,AU,1633829160,27,-24.8667,113.6333,75.27,17.27
26,pevek,100,RU,1633829161,93,69.7008,170.3133,25.63,2.89
27,quesnel,90,CA,1633829162,93,52.9999,-122.5029,45.1,4.61
28,balingasay,100,PH,1633829048,77,16.3573,119.8564,82.89,3.6
29,yinchuan,100,CN,1633829163,39,38.4681,106.2731,46.38,6.08
30,lompoc,1,US,1633829101,81,34.6391,-120.4579,73.38,13.8
31,avarua,91,CK,1633829163,57,-21.2078,-159.775,80.65,4.61
32,ushuaia,75,AR,1633828893,81,-54.8,-68.3,42.46,23.02
33,hobart,75,AU,1633829164,50,-42.8794,147.3294,58.01,1.01
34,bredasdorp,1,ZA,1633829066,87,-34.5322,20.0403,51.28,4.61
35,morondava,0,MG,1633829165,85,-20.2833,44.2833,73.98,3.85
36,thinadhoo,100,MV,1633829165,73,0.5333,72.9333,83.03,12.77
37,lahij,47,YE,1633829165,80,13.1667,44.5833,79.07,4.18
38,karasjok,100,NO,1633829166,99,69.4719,25.5112,37.51,5.46
39,kuytun,100,RU,1633829166,61,54.3419,101.5036,39.22,5.73
40,punta arenas,77,PH,1633829167,70,8.9897,125.34,84.99,14.34
41,kindu,100,CD,1633829167,90,-2.95,25.95,70.39,2.04
42,albany,100,US,1633828954,80,42.6001,-73.9662,59.81,5.99
43,busselton,71,AU,1633829168,66,-33.65,115.3333,59.04,7.52
44,vaini,40,TO,1633829066,89,-21.2,-175.2,78.96,4.61
45,imbituba,100,BR,1633829168,93,-28.24,-48.6703,64.81,10.8
46,rikitea,94,PF,1633828992,81,-23.1203,-134.9692,74.57,17.31
47,mahebourg,75,MU,1633829168,83,-20.4081,57.7,72.25,8.05
48,sinnamary,100,GF,1633829169,74,5.3833,-52.95,79.63,12.97
49,puerto escondido,100,ES,1633829170,69,36.5939,-6.233,69.62,2.3
50,butaritari,39,KI,1633829170,74,3.0707,172.7902,81.64,11.52
51,castro,100,BR,1633828895,98,-24.7911,-50.0119,56.14,9.19
52,richards bay,90,US,1633829171,94,46.8361,-95.9123,63.09,12.66
53,qaanaaq,100,GL,1633829172,74,77.484,-69.3632,28.26,13.29
54,torbay,75,CA,1633829172,88,47.6666,-52.7314,43.57,24.16
55,deputatskiy,100,RU,1633829173,80,69.3,139.9,21.04,4.18
56,gunjur,75,GM,1633829173,94,13.2019,-16.7339,78.87,0.0
57,kieta,20,PG,1633829174,69,-6.2167,155.6333,84.88,5.64
58,berlevag,100,NO,1633829174,91,70.8578,29.0864,40.26,6.78
59,sola,89,VU,1633829175,81,-13.8833,167.55,79.18,20.67
60,puerto ayora,100,ES,1633829175,69,36.5939,-6.233,69.62,2.3
61,leningradskiy,100,RU,1633829176,94,69.3833,178.4167,20.05,4.27
62,kaitangata,11,NZ,1633829177,65,-46.2817,169.8464,58.93,6.4
63,tailai,1,CN,1633829177,43,46.3833,123.4,51.6,26.11
64,xifeng,97,CN,1633829178,60,42.7372,124.7222,49.66,15.3
65,alta floresta,40,NO,1633829178,88,69.9689,23.2717,40.26,4.61
66,mys shmidta,100,RU,1633829179,88,62.0589,48.6201,32.36,3.0
67,bilibino,98,RU,1633829179,93,68.0546,166.4372,11.28,1.23
68,faanui,22,PF,1633829052,70,-16.4833,-151.75,78.75,5.82
69,ust-maya,17,RU,1633829180,72,60.4167,134.5333,36.5,5.91
70,lagoa,99,PT,1633829180,80,39.05,-27.9833,69.71,23.15
71,mantua,95,IT,1633829180,73,45.1667,10.7833,58.28,1.99
72,provideniya,32,RU,1633829181,72,64.3833,-173.3,32.45,3.83
73,verkhnevilyuysk,100,RU,1633829181,96,63.4453,120.3167,36.45,10.6
74,barranca,100,PE,1633829182,91,-10.75,-77.7667,61.81,8.79
75,lebu,2,CL,1633829055,95,-37.6167,-73.65,49.82,7.52
76,kapaa,75,US,1633829182,70,22.0752,-159.319,85.98,7.0
77,komsomolskiy,75,UZ,1633829097,46,40.4272,71.7189,52.52,6.91
78,sawtell,93,AU,1633829183,57,-30.3833,153.1,89.19,18.41
79,dikson,100,RU,1633829183,59,73.5069,80.5464,30.07,24.09
80,kiama,95,AU,1633829176,79,-34.6833,150.8667,71.38,3.0
81,lanciano,93,IT,1633829184,78,42.2167,14.3882,53.55,10.56
82,cidreira,100,BR,1633829110,90,-30.1811,-50.2056,63.82,18.95
83,hirara,40,JP,1633829184,79,24.8,125.2833,85.86,21.85
84,yellowknife,90,CA,1633829089,100,62.456,-114.3525,42.42,2.3
85,boyolangu,72,ID,1633829185,72,-8.1181,111.8935,81.19,8.68
86,cody,90,US,1633829185,83,44.5263,-109.0565,52.41,0.0
87,tasiilaq,90,GL,1633829186,73,65.6145,-37.6368,32.16,6.55
88,kaniama,4,CD,1633829186,66,-7.5667,24.1833,70.23,0.94
89,bathsheba,75,BB,1633829186,94,13.2167,-59.5167,75.81,18.41
90,saurimo,31,AO,1633829187,39,-9.6608,20.3916,70.07,0.69
91,isangel,75,VU,1633829187,65,-19.55,169.2667,78.91,13.8
92,bethel,90,US,1633829187,82,41.3712,-73.414,62.04,1.99
93,grand gaube,9,US,1633829188,31,38.8755,-109.5012,55.58,7.74
94,nioro,71,GM,1633829188,88,13.35,-15.75,76.66,6.26
95,codrington,59,AU,1633829163,73,-38.2667,141.9667,53.11,11.95
96,utica,100,US,1633829189,83,43.1009,-75.2327,60.78,8.43
97,nizhniy kuranakh,99,RU,1633829189,64,45.3926,39.2364,46.98,12.59
98,ust-karsk,1,RU,1633829189,58,52.7011,118.8077,40.75,3.33
99,bengkulu,27,ID,1633829190,86,-3.8004,102.2655,79.39,3.42
100,iqaluit,90,CA,1633829190,93,63.7506,-68.5145,35.33,0.0
101,harper,100,LR,1633829190,90,4.375,-7.7169,76.23,6.06
102,bana,100,CM,1633829191,99,5.1481,10.2762,61.2,0.85
103,jamestown,75,US,1633829141,86,42.097,-79.2353,62.71,5.99
104,arman,0,RU,1633829191,42,59.7,150.1667,34.43,2.37
105,balykshi,0,KZ,1633829192,50,47.0667,51.8667,46.56,6.46
106,lingdong,91,CN,1633829192,70,46.5669,131.1453,57.83,21.34
107,hithadhoo,89,MV,1633829193,70,-0.6,73.0833,82.54,11.05
108,khatanga,100,RU,1633829193,97,71.9667,102.5,15.82,1.01
109,jalu,0,LY,1633829193,33,29.0331,21.5482,74.57,9.53
110,valparaiso,75,CL,1633828923,82,-33.0393,-71.6273,56.32,4.61
111,pangnirtung,100,CA,1633829194,90,66.1451,-65.7125,31.32,2.39
112,narrabri,96,AU,1633829194,42,-30.3167,149.7833,83.52,26.46
113,liwale,86,TZ,1633829195,84,-9.7667,37.9333,68.2,5.73
114,borba,0,BR,1633829195,71,-4.3878,-59.5939,79.07,1.1
115,ordu,32,TR,1633829195,90,40.9086,37.6845,50.5,3.06
116,sao filipe,10,IN,1633829196,80,20.5113,76.2129,71.2,4.36
117,korla,8,CN,1633829196,44,41.7597,86.1469,44.6,1.45
118,erenhot,0,CN,1633829197,41,43.6475,111.9767,40.91,15.79
119,pizarro,100,CO,1633829197,87,4.9533,-77.366,75.2,2.53
120,hermanus,0,ZA,1633829197,82,-34.4187,19.2345,55.9,9.91
121,port alfred,100,CD,1633829198,51,-7.0349,29.7638,79.48,2.75
122,yenagoa,99,NG,1633829198,96,4.9247,6.2642,74.82,3.4
123,hilo,90,US,1633829086,88,19.7297,-155.09,77.29,10.36
124,tucumcari,1,US,1633829157,23,35.1717,-103.725,75.94,8.05
125,kununurra,32,AU,1633829199,29,-15.7667,128.7333,94.98,4.61
126,norman wells,1,US,1633829144,43,35.2226,-97.4395,84.61,1.99
127,gold coast,1,US,1633829200,96,35.7932,-81.762,66.15,0.0
128,banda aceh,97,IN,1633829200,57,25.4833,80.3333,76.82,4.09
129,aleksandrovskiy zavod,5,RU,1633829201,70,51.7095,45.0145,43.16,5.88
130,geraldton,0,AU,1633829114,30,-28.7667,114.6,72.01,14.97
131,padang,32,ID,1633829201,80,-0.9492,100.3543,80.65,2.48
132,new norfolk,90,LR,1633829202,95,6.6518,-10.5932,74.79,2.64
133,derzhavinsk,0,KZ,1633829202,61,51.1,66.3167,38.8,5.79
